,imageName,imageOrigin,xBudCenter,yBudCenter,radio,class,type
159,/home/wences/Documents/corpus-26000/corpus-26000-bc/5476.jpg,0159.jpg,2863,1875,155,True,1
160,/home/wences/Documents/corpus-26000/corpus-26000-bc/5502.jpg,0160.jpg,2497,1825,159,True,2
161,/home/wences/Documents/corpus-26000/corpus-26000-bc/5524.jpg,0161.jpg,2713,1910,149,True,3
162,/home/wences/Documents/corpus-26000/corpus-26000-bc/5544.jpg,0162.jpg,2635,1847,174,True,2
164,/home/wences/Documents/corpus-26000/corpus-26000-bc/5602.jpg,0164.jpg,2656,1940,137,True,1
165,/home/wences/Documents/corpus-26000/corpus-26000-bc/5621.jpg,0165.jpg,2804,1955,126,True,1
166,/home/wences/Documents/corpus-26000/corpus-26000-bc/5639.jpg,0166.jpg,2697,1795,134,True,2
167,/home/wences/Documents/corpus-26000/corpus-26000-bc/5667.jpg,0167.jpg,2713,1817,142,True,2
168,/home/wences/Documents/corpus-26000/corpus-26000-bc/5689.jpg,0168.jpg,2575,1798,158,True,2
169,/home/wences/Documents/corpus-26000/corpus-26000-bc/5717.jpg,0169.jpg,2776,1932,163,True,1
170,/home/wences/Documents/corpus-26000/corpus-26000-bc/5752.jpg,0170.jpg,2899,1712,160,True,2
171,/home/wences/Documents/corpus-26000/corpus-26000-bc/5791.jpg,0171.jpg,2713,1899,158,True,2
172,/home/wences/Documents/corpus-26000/corpus-26000-bc/5833.jpg,0172.jpg,2685,1747,159,True,3
173,/home/wences/Documents/corpus-26000/corpus-26000-bc/5874.jpg,0173.jpg,2777,1882,114,True,2
176,/home/wences/Documents/corpus-26000/corpus-26000-bc/5949.jpg,0176.jpg,2613,1648,133,True,3
177,/home/wences/Documents/corpus-26000/corpus-26000-bc/5981.jpg,0177.jpg,2793,1833,88,True,2
178,/home/wences/Documents/corpus-26000/corpus-26000-bc/6025.jpg,0178.jpg,2526,1833,143,True,3
179,/home/wences/Documents/corpus-26000/corpus-26000-bc/6058.jpg,0179.jpg,2747,1908,126,True,2
180,/home/wences/Documents/corpus-26000/corpus-26000-bc/6082.jpg,0180.jpg,2571,1709,135,True,2
181,/home/wences/Documents/corpus-26000/corpus-26000-bc/6131.jpg,0181.jpg,2640,1874,159,True,1
184,/home/wences/Documents/corpus-26000/corpus-26000-bc/6240.jpg,0184.jpg,2486,1920,135,True,2
185,/home/wences/Documents/corpus-26000/corpus-26000-bc/6267.jpg,0185.jpg,2757,1894,115,True,2
186,/home/wences/Documents/corpus-26000/corpus-26000-bc/6286.jpg,0186.jpg,2886,1927,123,True,1
188,/home/wences/Documents/corpus-26000/corpus-26000-bc/6367.jpg,0188.jpg,2730,1908,123,True,1
190,/home/wences/Documents/corpus-26000/corpus-26000-bc/6437.jpg,0190.jpg,2615,1946,129,True,3
192,/home/wences/Documents/corpus-26000/corpus-26000-bc/6516.jpg,0192.jpg,2523,1844,125,True,2
193,/home/wences/Documents/corpus-26000/corpus-26000-bc/6537.jpg,0193.jpg,2677,1902,157,True,3
194,/home/wences/Documents/corpus-26000/corpus-26000-bc/6564.jpg,0194.jpg,2790,1952,167,True,2
195,/home/wences/Documents/corpus-26000/corpus-26000-bc/6580.jpg,0195.jpg,2682,1840,134,True,2
196,/home/wences/Documents/corpus-26000/corpus-26000-bc/6597.jpg,0196.jpg,2651,1861,139,True,2
197,/home/wences/Documents/corpus-26000/corpus-26000-bc/6617.jpg,0197.jpg,2785,1889,161,True,1
198,/home/wences/Documents/corpus-26000/corpus-26000-bc/6666.jpg,0198.jpg,2720,1939,155,True,1
199,/home/wences/Documents/corpus-26000/corpus-26000-bc/6724.jpg,0199.jpg,2816,2019,140,True,2
200,/home/wences/Documents/corpus-26000/corpus-26000-bc/6775.jpg,0200.jpg,2567,1884,134,True,3
205,/home/wences/Documents/corpus-26000/corpus-26000-bc/7047.jpg,0203.jpg,2249,2037,52,True,3
212,/home/wences/Documents/corpus-26000/corpus-26000-bc/7570.jpg,0207.jpg,1497,1257,71,True,2
226,/home/wences/Documents/corpus-26000/corpus-26000-bc/7882.jpg,0215.jpg,2139,700,66,True,2
229,/home/wences/Documents/corpus-26000/corpus-26000-bc/7953.jpg,0217.jpg,2549,2219,56,True,2
239,/home/wences/Documents/corpus-26000/corpus-26000-bc/8261.jpg,0223.jpg,2882,1476,60,True,2
246,/home/wences/Documents/corpus-26000/corpus-26000-bc/8564.jpg,0230.jpg,2390,990,39,True,2
263,/home/wences/Documents/corpus-26000/corpus-26000-bc/9135.jpg,0257.jpg,2420,1744,79,True,1
265,/home/wences/Documents/corpus-26000/corpus-26000-bc/9182.jpg,0260.jpg,2369,1847,91,True,1
268,/home/wences/Documents/corpus-26000/corpus-26000-bc/9243.jpg,0262.jpg,2532,1623,82,True,1
269,/home/wences/Documents/corpus-26000/corpus-26000-bc/9265.jpg,0263.jpg,2433,1703,116,True,1
270,/home/wences/Documents/corpus-26000/corpus-26000-bc/9349.jpg,0264.jpg,2210,1770,187,True,1
271,/home/wences/Documents/corpus-26000/corpus-26000-bc/9361.jpg,0265.jpg,2356,1778,145,True,2
272,/home/wences/Documents/corpus-26000/corpus-26000-bc/9378.jpg,0266.jpg,2353,1652,166,True,1
273,/home/wences/Documents/corpus-26000/corpus-26000-bc/9398.jpg,0270.jpg,2305,1555,83,True,1
274,/home/wences/Documents/corpus-26000/corpus-26000-bc/9417.jpg,0271.jpg,2263,1672,64,True,1
275,/home/wences/Documents/corpus-26000/corpus-26000-bc/9487.jpg,0272.jpg,2225,1763,129,True,1
276,/home/wences/Documents/corpus-26000/corpus-26000-bc/9501.jpg,0274.jpg,2223,1593,98,True,1
277,/home/wences/Documents/corpus-26000/corpus-26000-bc/9542.jpg,0275.jpg,2247,1572,116,True,1
278,/home/wences/Documents/corpus-26000/corpus-26000-bc/9585.jpg,0276.jpg,2242,1844,124,True,1
279,/home/wences/Documents/corpus-26000/corpus-26000-bc/9607.jpg,0278.jpg,2510,1704,95,True,1
280,/home/wences/Documents/corpus-26000/corpus-26000-bc/9623.jpg,0279.jpg,2431,1835,85,True,1
281,/home/wences/Documents/corpus-26000/corpus-26000-bc/9677.jpg,0280.jpg,2497,1760,85,True,1
284,/home/wences/Documents/corpus-26000/corpus-26000-bc/9761.jpg,0283.jpg,2464,1663,127,True,2
285,/home/wences/Documents/corpus-26000/corpus-26000-bc/9772.jpg,0284.jpg,2332,1965,119,True,1
286,/home/wences/Documents/corpus-26000/corpus-26000-bc/9787.jpg,0285.jpg,2405,1964,111,True,2
287,/home/wences/Documents/corpus-26000/corpus-26000-bc/9818.jpg,0286.jpg,2364,1775,115,True,2
288,/home/wences/Documents/corpus-26000/corpus-26000-bc/9872.jpg,0287.jpg,2340,1789,98,True,1
289,/home/wences/Documents/corpus-26000/corpus-26000-bc/9897.jpg,0289.jpg,2281,1636,139,True,2
292,/home/wences/Documents/corpus-26000/corpus-26000-bc/9975.jpg,0291.jpg,2445,1812,87,True,1
293,/home/wences/Documents/corpus-26000/corpus-26000-bc/10003.jpg,0292.jpg,2233,1804,102,True,1
294,/home/wences/Documents/corpus-26000/corpus-26000-bc/10041.jpg,0294.jpg,2220,1644,111,True,1
295,/home/wences/Documents/corpus-26000/corpus-26000-bc/10078.jpg,0295.jpg,2358,1609,130,True,3
296,/home/wences/Documents/corpus-26000/corpus-26000-bc/10130.jpg,0296.jpg,2378,1650,67,True,1
297,/home/wences/Documents/corpus-26000/corpus-26000-bc/10363.jpg,0297.jpg,2542,1655,71,True,1
298,/home/wences/Documents/corpus-26000/corpus-26000-bc/10412.jpg,0298.jpg,2512,1612,90,True,1
299,/home/wences/Documents/corpus-26000/corpus-26000-bc/10469.jpg,0300.jpg,2285,1542,143,True,1
300,/home/wences/Documents/corpus-26000/corpus-26000-bc/10480.jpg,0301.jpg,2339,1789,139,True,2
301,/home/wences/Documents/corpus-26000/corpus-26000-bc/10520.jpg,0302.jpg,2258,1733,74,True,1
302,/home/wences/Documents/corpus-26000/corpus-26000-bc/10530.jpg,0303.jpg,2267,1684,122,True,1
304,/home/wences/Documents/corpus-26000/corpus-26000-bc/10566.jpg,0305.jpg,2288,1808,106,True,1
305,/home/wences/Documents/corpus-26000/corpus-26000-bc/10580.jpg,0306.jpg,2482,1725,76,True,1
306,/home/wences/Documents/corpus-26000/corpus-26000-bc/10600.jpg,0307.jpg,2592,1756,418,True,1
307,/home/wences/Documents/corpus-26000/corpus-26000-bc/10618.jpg,0308.jpg,2804,1960,336,True,1
308,/home/wences/Documents/corpus-26000/corpus-26000-bc/10629.jpg,0309.jpg,2820,1616,322,True,1
309,/home/wences/Documents/corpus-26000/corpus-26000-bc/10647.jpg,0310.jpg,3248,1908,448,True,1
310,/home/wences/Documents/corpus-26000/corpus-26000-bc/10665.jpg,0311.jpg,3028,1792,398,True,2
311,/home/wences/Documents/corpus-26000/corpus-26000-bc/10674.jpg,0312.jpg,2276,1804,366,True,1
312,/home/wences/Documents/corpus-26000/corpus-26000-bc/10686.jpg,0313.jpg,2512,2264,300,True,1
313,/home/wences/Documents/corpus-26000/corpus-26000-bc/10715.jpg,0314.jpg,2816,1708,388,True,1
314,/home/wences/Documents/corpus-26000/corpus-26000-bc/10722.jpg,0315.jpg,2660,2024,344,True,1
315,/home/wences/Documents/corpus-26000/corpus-26000-bc/10731.jpg,0316.jpg,2676,2164,282,True,1
316,/home/wences/Documents/corpus-26000/corpus-26000-bc/10749.jpg,0317.jpg,2404,1472,332,True,1
317,/home/wences/Documents/corpus-26000/corpus-26000-bc/10769.jpg,0318.jpg,2752,1776,364,True,1
318,/home/wences/Documents/corpus-26000/corpus-26000-bc/10797.jpg,0319.jpg,2688,1756,310,True,1
319,/home/wences/Documents/corpus-26000/corpus-26000-bc/10817.jpg,0320.jpg,2636,1932,372,True,1
321,/home/wences/Documents/corpus-26000/corpus-26000-bc/10851.jpg,0322.jpg,2576,1780,252,True,1
323,/home/wences/Documents/corpus-26000/corpus-26000-bc/10895.jpg,0324.jpg,2684,1852,294,True,1
324,/home/wences/Documents/corpus-26000/corpus-26000-bc/10910.jpg,0325.jpg,2612,1928,374,True,1
325,/home/wences/Documents/corpus-26000/corpus-26000-bc/10927.jpg,0326.jpg,2500,2248,432,True,1
326,/home/wences/Documents/corpus-26000/corpus-26000-bc/10944.jpg,0327.jpg,2176,2436,376,True,1
327,/home/wences/Documents/corpus-26000/corpus-26000-bc/10966.jpg,0328.jpg,2912,1520,286,True,1
328,/home/wences/Documents/corpus-26000/corpus-26000-bc/10992.jpg,0329.jpg,2652,1844,282,True,2
330,/home/wences/Documents/corpus-26000/corpus-26000-bc/11025.jpg,0331.jpg,1976,1956,322,True,1
333,/home/wences/Documents/corpus-26000/corpus-26000-bc/11075.jpg,0333.jpg,2000,1860,258,True,1
334,/home/wences/Documents/corpus-26000/corpus-26000-bc/11086.jpg,0334.jpg,2736,1736,272,True,1
335,/home/wences/Documents/corpus-26000/corpus-26000-bc/11101.jpg,0335.jpg,2692,1856,238,True,1
337,/home/wences/Documents/corpus-26000/corpus-26000-bc/11156.jpg,0337.jpg,2668,2048,340,True,1
338,/home/wences/Documents/corpus-26000/corpus-26000-bc/11177.jpg,0338.jpg,2240,1840,306,True,1
339,/home/wences/Documents/corpus-26000/corpus-26000-bc/11193.jpg,0339.jpg,2420,1724,298,True,1
340,/home/wences/Documents/corpus-26000/corpus-26000-bc/11214.jpg,0340.jpg,2672,1928,236,True,1
343,/home/wences/Documents/corpus-26000/corpus-26000-bc/11246.jpg,0342.jpg,2576,1924,224,True,1
344,/home/wences/Documents/corpus-26000/corpus-26000-bc/11262.jpg,0343.jpg,3012,1888,356,True,2
345,/home/wences/Documents/corpus-26000/corpus-26000-bc/11275.jpg,0344.jpg,2456,2048,248,True,3
346,/home/wences/Documents/corpus-26000/corpus-26000-bc/11284.jpg,0345.jpg,2464,2200,196,True,1
347,/home/wences/Documents/corpus-26000/corpus-26000-bc/11304.jpg,0346.jpg,2956,1884,254,True,1
348,/home/wences/Documents/corpus-26000/corpus-26000-bc/11318.jpg,0347.jpg,3328,1824,286,True,1
349,/home/wences/Documents/corpus-26000/corpus-26000-bc/11334.jpg,0348.jpg,3012,1772,246,True,1
350,/home/wences/Documents/corpus-26000/corpus-26000-bc/11343.jpg,0349.jpg,2276,1720,304,True,1
351,/home/wences/Documents/corpus-26000/corpus-26000-bc/11359.jpg,0350.jpg,3028,2124,222,True,1
354,/home/wences/Documents/corpus-26000/corpus-26000-bc/11376.jpg,0352.jpg,2320,1880,220,True,1
355,/home/wences/Documents/corpus-26000/corpus-26000-bc/11383.jpg,0353.jpg,2360,2076,264,True,1
357,/home/wences/Documents/corpus-26000/corpus-26000-bc/11419.jpg,0355.jpg,2304,1456,286,True,3
358,/home/wences/Documents/corpus-26000/corpus-26000-bc/11445.jpg,0356.jpg,2504,1548,240,True,3
359,/home/wences/Documents/corpus-26000/corpus-26000-bc/11465.jpg,0357.jpg,2868,1932,266,True,2
360,/home/wences/Documents/corpus-26000/corpus-26000-bc/11493.jpg,0358.jpg,3116,1828,228,True,1
361,/home/wences/Documents/corpus-26000/corpus-26000-bc/11512.jpg,0359.jpg,2812,1772,270,True,2
362,/home/wences/Documents/corpus-26000/corpus-26000-bc/11531.jpg,0360.jpg,2520,2172,270,True,1
363,/home/wences/Documents/corpus-26000/corpus-26000-bc/11550.jpg,0361.jpg,3160,2468,230,True,1
364,/home/wences/Documents/corpus-26000/corpus-26000-bc/11563.jpg,0362.jpg,2636,2104,218,True,1
365,/home/wences/Documents/corpus-26000/corpus-26000-bc/11585.jpg,0363.jpg,3148,1832,264,True,1
366,/home/wences/Documents/corpus-26000/corpus-26000-bc/11631.jpg,0364.jpg,2808,1612,268,True,1
367,/home/wences/Documents/corpus-26000/corpus-26000-bc/11659.jpg,0365.jpg,2768,1668,320,True,2
368,/home/wences/Documents/corpus-26000/corpus-26000-bc/11670.jpg,0366.jpg,2452,1576,354,True,2
369,/home/wences/Documents/corpus-26000/corpus-26000-bc/11694.jpg,0367.jpg,2940,1996,286,True,1
370,/home/wences/Documents/corpus-26000/corpus-26000-bc/11719.jpg,0368.jpg,2340,1664,312,True,2
371,/home/wences/Documents/corpus-26000/corpus-26000-bc/11745.jpg,0369.jpg,2860,1944,248,True,1
379,/home/wences/Documents/corpus-26000/corpus-26000-bc/11866.jpg,0375.jpg,2800,1784,322,True,1
380,/home/wences/Documents/corpus-26000/corpus-26000-bc/11883.jpg,0376.jpg,2784,1860,254,True,2
384,/home/wences/Documents/corpus-26000/corpus-26000-bc/11952.jpg,0380.jpg,2460,1504,292,True,1
386,/home/wences/Documents/corpus-26000/corpus-26000-bc/11980.jpg,0382.jpg,2168,1884,242,True,1
387,/home/wences/Documents/corpus-26000/corpus-26000-bc/11993.jpg,0383.jpg,2504,1988,314,True,1
